problem,n,m,direction,linesearch,start,iterations,nfev,ngev,cpu_time_sec,success,reason
BK1,2,2,sd,dwolfe,40,500,55134,36145,0.3468722,1,maxIter
BK1,2,2,sd,qwolfe,41,500,56616,37618,0.3814607,1,maxIter
BK1,2,2,sd,dwolfe,41,500,54972,35974,0.3467282,1,maxIter
BK1,2,2,sd,qwolfe,42,500,56982,37961,0.3822462,1,maxIter
BK1,2,2,sd,dwolfe,42,500,55356,36335,0.3506698,1,maxIter
BK1,2,2,sd,qwolfe,43,500,56565,37564,0.3874992,1,maxIter
BK1,2,2,sd,dwolfe,43,500,54918,35917,0.3504848,1,maxIter
BK1,2,2,sd,qwolfe,44,500,56982,37961,0.3848517,1,maxIter
BK1,2,2,sd,dwolfe,44,500,55356,36335,0.3545308,1,maxIter
BK1,2,2,sd,qwolfe,45,500,56718,37726,0.3838539,1,maxIter
BK1,2,2,sd,dwolfe,45,500,55080,36088,0.3637151,1,maxIter
BK1,2,2,sd,qwolfe,46,500,56616,37618,0.3900873,1,maxIter
BK1,2,2,sd,dwolfe,46,500,54972,35974,0.3503465,1,maxIter
BK1,2,2,sd,qwolfe,47,500,56883,37856,0.3890009,1,maxIter
BK1,2,2,sd,dwolfe,47,500,55248,36221,0.3528981,1,maxIter
BK1,2,2,sd,qwolfe,48,500,56463,37456,0.3898722,1,maxIter
BK1,2,2,sd,dwolfe,48,500,54810,35803,0.3514021,1,maxIter
BK1,2,2,sd,qwolfe,49,500,56769,37780,0.3844492,1,maxIter
BK1,2,2,sd,dwolfe,49,500,55134,36145,0.3546186,1,maxIter
BK1,2,2,sd,qwolfe,50,500,56565,37564,0.3877731,1,maxIter
BK1,2,2,sd,dwolfe,50,500,54918,35917,0.3471835,1,maxIter
BK1,2,2,sd,qwolfe,51,500,56514,37510,0.3835503,1,maxIter
BK1,2,2,sd,dwolfe,51,500,54864,35860,0.3471492,1,maxIter
BK1,2,2,sd,qwolfe,52,500,56718,37726,0.3876281,1,maxIter
BK1,2,2,sd,dwolfe,52,500,55080,36088,0.3560964,1,maxIter
BK1,2,2,sd,qwolfe,53,500,56616,37618,0.3962616,1,maxIter
BK1,2,2,sd,dwolfe,53,500,54972,35974,0.3516396,1,maxIter
BK1,2,2,sd,qwolfe,54,500,56616,37618,0.3814343,1,maxIter
BK1,2,2,sd,dwolfe,54,500,54972,35974,0.3481376,1,maxIter
BK1,2,2,sd,qwolfe,55,500,12393,5799,0.2160566,1,maxIter
BK1,2,2,sd,dwolfe,55,500,55410,36392,0.3500886,1,maxIter
BK1,2,2,sd,qwolfe,56,500,56616,37618,0.3926956,1,maxIter
BK1,2,2,sd,dwolfe,56,500,54972,35974,0.3461042,1,maxIter
BK1,2,2,sd,qwolfe,57,500,56514,37510,0.3913568,1,maxIter
BK1,2,2,sd,dwolfe,57,500,54864,35860,0.3488265,1,maxIter
BK1,2,2,sd,qwolfe,58,500,56514,37510,0.3844338,1,maxIter
BK1,2,2,sd,dwolfe,58,500,54864,35860,0.3571911,1,maxIter
BK1,2,2,sd,qwolfe,59,500,56565,37564,0.404246,1,maxIter
BK1,2,2,sd,dwolfe,59,500,54918,35917,0.3613348,1,maxIter
BK1,2,2,sd,qwolfe,60,500,56616,37618,0.4144476,1,maxIter
BK1,2,2,sd,dwolfe,60,500,54972,35974,0.360016,1,maxIter
BK1,2,2,sd,qwolfe,61,500,56463,37456,0.4095141,1,maxIter
BK1,2,2,sd,dwolfe,61,500,54810,35803,0.3661568,1,maxIter
BK1,2,2,sd,qwolfe,62,500,56514,37510,0.3985083,1,maxIter
BK1,2,2,sd,dwolfe,62,500,54864,35860,0.3510558,1,maxIter
BK1,2,2,sd,qwolfe,63,500,56718,37726,0.3842912,1,maxIter
BK1,2,2,sd,dwolfe,63,500,55080,36088,0.3543742,1,maxIter
BK1,2,2,sd,qwolfe,64,500,56616,37618,0.3834135,1,maxIter
BK1,2,2,sd,dwolfe,64,500,54972,35974,0.3454167,1,maxIter
BK1,2,2,sd,qwolfe,65,500,56565,37564,0.3974584,1,maxIter
BK1,2,2,sd,dwolfe,65,500,54918,35917,0.3488926,1,maxIter
BK1,2,2,sd,qwolfe,66,500,56667,37672,0.3917863,1,maxIter
BK1,2,2,sd,dwolfe,66,500,55026,36031,0.3734926,1,maxIter
BK1,2,2,sd,qwolfe,67,500,56649,37699,0.4081325,1,maxIter
BK1,2,2,sd,dwolfe,67,500,55134,36145,0.3673819,1,maxIter
BK1,2,2,sd,qwolfe,68,500,56718,37726,0.4094071,1,maxIter
BK1,2,2,sd,dwolfe,68,500,55080,36088,0.3692686,1,maxIter
BK1,2,2,sd,qwolfe,69,500,56667,37672,0.3999937,1,maxIter
BK1,2,2,sd,dwolfe,69,500,55026,36031,0.3542048,1,maxIter
BK1,2,2,sd,qwolfe,70,500,56667,37672,0.3835434,1,maxIter
BK1,2,2,sd,dwolfe,70,500,55026,36031,0.3470037,1,maxIter
BK1,2,2,sd,qwolfe,71,500,56718,37726,0.3863797,1,maxIter
BK1,2,2,sd,dwolfe,71,500,55080,36088,0.3462143,1,maxIter
BK1,2,2,sd,qwolfe,72,500,56649,37699,0.39044,1,maxIter
BK1,2,2,sd,dwolfe,72,500,55134,36145,0.3493418,1,maxIter
BK1,2,2,sd,qwolfe,73,500,56616,37618,0.3907124,1,maxIter
BK1,2,2,sd,dwolfe,73,500,54972,35974,0.3542468,1,maxIter
BK1,2,2,sd,qwolfe,74,500,56667,37672,0.3808617,1,maxIter
BK1,2,2,sd,dwolfe,74,500,55026,36031,0.3480911,1,maxIter
BK1,2,2,sd,qwolfe,75,500,56649,37699,0.3867742,1,maxIter
BK1,2,2,sd,dwolfe,75,500,55134,36145,0.3475174,1,maxIter
BK1,2,2,sd,qwolfe,76,500,56616,37618,0.3839157,1,maxIter
BK1,2,2,sd,dwolfe,76,500,54972,35974,0.3465176,1,maxIter
BK1,2,2,sd,qwolfe,77,500,56616,37618,0.3918375,1,maxIter
BK1,2,2,sd,dwolfe,77,500,54972,35974,0.3501205,1,maxIter
BK1,2,2,sd,qwolfe,78,500,56931,37907,0.3843751,1,maxIter
BK1,2,2,sd,dwolfe,78,500,55302,36278,0.3550588,1,maxIter
BK1,2,2,sd,qwolfe,79,500,56565,37564,0.3883806,1,maxIter
BK1,2,2,sd,dwolfe,79,500,54918,35917,0.363558,1,maxIter
BK1,2,2,sd,qwolfe,80,500,56667,37672,0.3932275,1,maxIter
BK1,2,2,sd,dwolfe,80,500,55026,36031,0.3447792,1,maxIter
BK1,2,2,sd,qwolfe,81,500,56667,37672,0.3867023,1,maxIter
BK1,2,2,sd,dwolfe,81,500,55026,36031,0.3463253,1,maxIter
BK1,2,2,sd,qwolfe,82,500,56982,37961,0.392159,1,maxIter
BK1,2,2,sd,dwolfe,82,500,55356,36335,0.3496817,1,maxIter
BK1,2,2,sd,qwolfe,83,500,56667,37672,0.3870456,1,maxIter
BK1,2,2,sd,dwolfe,83,500,55026,36031,0.3533302,1,maxIter
BK1,2,2,sd,qwolfe,84,500,56616,37618,0.3825476,1,maxIter
BK1,2,2,sd,dwolfe,84,500,54972,35974,0.3427618,1,maxIter
BK1,2,2,sd,qwolfe,85,500,56616,37618,0.3810198,1,maxIter
BK1,2,2,sd,dwolfe,85,500,54972,35974,0.366004,1,maxIter
BK1,2,2,sd,qwolfe,86,500,56982,37961,0.3865074,1,maxIter
BK1,2,2,sd,dwolfe,86,500,55356,36335,0.3715262,1,maxIter
BK1,2,2,sd,qwolfe,87,500,56463,37456,0.4127985,1,maxIter
BK1,2,2,sd,dwolfe,87,500,54810,35803,0.380597,1,maxIter
BK1,2,2,sd,qwolfe,88,500,56616,37618,0.4194665,1,maxIter
BK1,2,2,sd,dwolfe,88,500,54972,35974,0.4026778,1,maxIter
BK1,2,2,sd,qwolfe,89,500,56964,37949,0.3849004,1,maxIter
BK1,2,2,sd,dwolfe,89,500,55464,36449,0.3503168,1,maxIter
BK1,2,2,sd,qwolfe,90,500,56718,37726,0.3823741,1,maxIter
BK1,2,2,sd,dwolfe,90,500,55080,36088,0.349155,1,maxIter
BK1,2,2,sd,qwolfe,91,500,56718,37726,0.3834945,1,maxIter
BK1,2,2,sd,dwolfe,91,500,55080,36088,0.3485409,1,maxIter
BK1,2,2,sd,qwolfe,92,500,56565,37564,0.3920643,1,maxIter
BK1,2,2,sd,dwolfe,92,500,54918,35917,0.3600336,1,maxIter
BK1,2,2,sd,qwolfe,93,500,56565,37564,0.3976565,1,maxIter
BK1,2,2,sd,dwolfe,93,500,54918,35917,0.358087,1,maxIter
BK1,2,2,sd,qwolfe,94,500,56667,37672,0.3890233,1,maxIter
BK1,2,2,sd,dwolfe,94,500,55026,36031,0.3567451,1,maxIter
BK1,2,2,sd,qwolfe,95,500,56514,37510,0.3840927,1,maxIter
BK1,2,2,sd,dwolfe,95,500,54864,35860,0.352846,1,maxIter
BK1,2,2,sd,qwolfe,96,500,56616,37618,0.3799826,1,maxIter
BK1,2,2,sd,dwolfe,96,500,54972,35974,0.3518757,1,maxIter
BK1,2,2,sd,qwolfe,97,500,56817,37831,0.3938657,1,maxIter
BK1,2,2,sd,dwolfe,97,500,55188,36202,0.349943,1,maxIter
BK1,2,2,sd,qwolfe,98,500,56931,37907,0.3871498,1,maxIter
BK1,2,2,sd,dwolfe,98,500,55302,36278,0.3475653,1,maxIter
BK1,2,2,sd,qwolfe,99,500,56931,37907,0.388075,1,maxIter
BK1,2,2,sd,dwolfe,99,500,55302,36278,0.3468177,1,maxIter
BK1,2,2,sd,qwolfe,100,500,56649,37699,0.396215,1,maxIter
BK1,2,2,sd,dwolfe,100,500,55134,36145,0.3481824,1,maxIter
DGO1,1,2,sd,qwolfe,1,500,30003,12277,0.3025087,1,maxIter
DGO1,1,2,sd,dwolfe,1,500,30318,11277,0.2498137,1,maxIter
DGO1,1,2,sd,qwolfe,2,500,30975,12663,0.2908253,1,maxIter
DGO1,1,2,sd,dwolfe,2,500,30282,11330,0.2564859,1,maxIter
DGO1,1,2,sd,qwolfe,3,500,31107,12624,0.2812802,1,maxIter
DGO1,1,2,sd,dwolfe,3,500,30357,11350,0.2474737,1,maxIter
DGO1,1,2,sd,qwolfe,4,500,30720,12485,0.2892737,1,maxIter
DGO1,1,2,sd,dwolfe,4,500,30615,11426,0.2482344,1,maxIter
DGO1,1,2,sd,qwolfe,5,500,30291,12331,0.2789929,1,maxIter
DGO1,1,2,sd,dwolfe,5,500,30729,11425,0.2489726,1,maxIter
DGO1,1,2,sd,qwolfe,6,500,30456,12406,0.2758378,1,maxIter
DGO1,1,2,sd,dwolfe,6,500,30492,11382,0.2455891,1,maxIter
DGO1,1,2,sd,qwolfe,7,500,31002,12697,0.2785135,1,maxIter
DGO1,1,2,sd,dwolfe,7,500,30435,11377,0.254759,1,maxIter
DGO1,1,2,sd,qwolfe,8,500,31092,12563,0.2904814,1,maxIter
DGO1,1,2,sd,dwolfe,8,500,30087,11206,0.2554798,1,maxIter
DGO1,1,2,sd,qwolfe,9,500,30627,12529,0.2857294,1,maxIter
DGO1,1,2,sd,dwolfe,9,500,30135,11305,0.253029,1,maxIter
DGO1,1,2,sd,qwolfe,10,500,30711,12478,0.2834368,1,maxIter
DGO1,1,2,sd,dwolfe,10,500,30297,11299,0.2491799,1,maxIter
DGO1,1,2,sd,qwolfe,11,500,30885,12632,0.279046,1,maxIter
DGO1,1,2,sd,dwolfe,11,500,30726,11503,0.245803,1,maxIter
DGO1,1,2,sd,qwolfe,12,500,30360,12367,0.2766828,1,maxIter
